,code,17PriceX,16PriceX
0,600000,1.34,7.54
1,600004,1.17,3.19
2,600006,0.74,2.72
3,600007,0.86,3.03
4,600008,0.58,2.52
5,600009,1.27,3.05
6,600010,0.92,2.31
7,600011,0.53,1.45
8,600012,1.64,8.81
9,600015,1.09,4.12
10,600016,1.39,7.82
11,600017,0.79,1.71
12,600018,0.87,2.32
13,600019,0.59,1.93
14,600020,0.87,2.47
15,600021,1.35,6.51
16,600022,0.26,1.03
17,600026,0.17,0.93
18,600027,0.46,1.76
19,600028,0.42,1.42
20,600029,0.63,2.59
21,600030,0.73,1.78
22,600031,1.35,2.93
23,600033,0.71,1.42
24,600035,1.12,3.22
25,600036,1.44,3.27
26,600037,0.43,1.8
27,600039,1.76,3.78
28,600048,2.28,4.06
29,600050,0.57,1.57
30,600051,1.02,3.08
31,600052,0.27,2.27
32,600053,2.17,22.9
33,600054,0.7,1.9
34,600055,3.63,5.76
35,600056,3.06,7.51
36,600057,1.32,3.91
37,600058,0.34,1.42
38,600059,0.97,2.14
39,600060,3.96,20.05
40,600061,1.21,4.93
41,600062,1.14,1.25
42,600063,0.89,3.25
43,600064,1.1,6.34
44,600066,6.21,-32.19
45,600068,1.16,2.24
46,600070,3.55,24.24
47,600071,1.9,8.22
48,600072,0.41,2.34
49,600073,1.1,4.89
50,600074,1.5,6.33
51,600075,0.6,2.47
52,600076,1.08,4.68
53,600077,0.94,3.61
54,600078,0.46,1.22
55,600079,5.04,11.94
56,600080,1.11,5.68
57,600081,1.65,6.04
58,600082,0.76,3.09
59,600083,2.0,8.47
60,600085,3.32,9.15
61,600086,2.41,6.97
62,600089,1.0,0.9
63,600091,0.68,3.9
64,600093,1.58,2.79
65,600095,0.85,4.43
66,600096,0.15,0.57
67,600097,1.06,2.08
68,600098,0.6,3.27
69,600099,1.03,5.79
70,600100,0.66,3.32
71,600101,1.11,3.04
72,600103,0.59,2.57
73,600104,2.41,-8.97
74,600105,1.98,11.26
75,600106,0.86,3.82
76,600107,0.62,2.11
77,600108,0.52,1.95
78,600109,0.61,2.31
79,600110,0.85,3.3
80,600111,3.0,11.57
81,600113,2.58,11.68
82,600115,0.4,1.83
83,600116,2.48,8.18
84,600117,0.27,1.32
85,600118,2.49,6.22
86,600119,1.98,6.37
87,600120,2.29,13.06
88,600121,0.39,1.46
89,600122,0.75,2.89
90,600123,0.67,1.96
91,600125,1.39,2.24
92,600126,0.81,2.35
93,600127,0.52,1.44
94,600128,0.36,1.46
95,600129,1.47,4.46
96,600130,1.25,3.98
97,600131,0.66,3.35
98,600132,1.04,1.64
99,600133,1.63,4.35
100,600135,0.99,4.21
101,600137,0.68,5.53
102,600138,1.29,5.21
103,600139,2.26,9.45
104,600141,1.41,2.7
105,600143,0.59,3.99
106,600148,2.0,6.36
107,600149,1.23,7.44
108,600153,2.01,4.43
109,600158,0.33,5.35
110,600159,0.6,2.85
111,600160,2.65,9.15
112,600163,0.79,2.01
113,600166,1.0,3.77
114,600168,0.9,3.11
115,600170,1.83,3.89
116,600172,3.42,8.45
117,600175,1.36,4.69
118,600176,2.6,2.68
119,600177,0.67,4.98
120,600178,0.6,2.54
121,600179,2.96,4.13
122,600182,2.56,47.66
123,600183,1.81,7.44
124,600184,2.09,5.34
125,600185,1.3,6.38
126,600186,0.52,2.33
127,600188,0.84,1.75
128,600189,0.39,2.76
129,600190,0.63,1.4
130,600191,0.77,4.09
131,600192,0.53,2.45
132,600193,0.92,3.86
133,600195,0.65,2.16
134,600196,5.48,4.42
135,600197,1.86,4.61
136,600199,1.87,7.15
137,600200,1.95,8.53
138,600201,6.19,23.77
139,600206,1.47,3.16
140,600207,0.76,3.17
141,600209,1.59,5.51
142,600210,0.57,2.81
143,600211,2.84,11.79
144,600213,1.38,4.7
145,600215,1.3,5.8
146,600216,1.66,2.23
147,600218,0.98,3.77
148,600219,0.37,1.45
149,600220,0.53,1.16
150,600221,0.51,2.5
