,code,name,17ReportX,16ReportX,2007net,2008net,16net,17net,2007roe,2008roe,16roe,17roe
0,600004,白云机场,4.42,2.87,36086.26,48577.45,139385.3,159578.46,8.4,8.52,13.53,12.24
1,600006,东风汽车,0.42,0.69,47901.05,31548.2,21885.45,20070.49,9.57,6.04,3.3943,3.0504
2,600007,中国国贸,2.19,1.94,28926.82,35449.0,68634.04,63480.67,7.37,8.66,11.71,10.16
3,600008,首创股份,1.19,2.34,51320.5,26085.29,61088.89,61200.88,10.83,5.47,6.76,5.8
4,600009,上海机场,2.17,3.26,169497.54,85971.48,280565.07,368340.85,15.62,7.22,13.17,15.53
5,600010,包钢股份,1.18,0.09,174645.17,92034.31,8503.37,206125.55,15.94,6.48,0.18,4.2707
6,600011,华能国际,0.3,-2.91,599705.87,-356292.2,1038241.37,179315.1,13.47,-8.99,11.99,2.47
7,600012,皖通高速,2.06,1.35,52977.06,69321.25,93325.76,109134.31,11.27,14.36,11.16,12.12
8,600015,华夏银行,9.43,6.41,210118.92,307083.83,1967700.0,1981900.0,17.12,18.23,15.75,13.54
9,600016,民生银行,7.86,6.07,633517.6,788500.0,4784300.0,4981300.0,18.23,15.23,15.13,14.03
10,600017,日照港,2.06,0.67,17912.06,26161.35,17624.32,36887.56,7.87,9.91,1.73,3.51
11,600018,上港集团,3.17,1.5,364002.99,461933.54,693907.72,1153619.16,14.277,15.6164,11.3763,17.918
12,600019,宝钢股份,1.51,1.41,1271833.45,645920.75,907592.81,1917033.76,15.22,6.99,6.25,12.24
13,600021,上海电力,2.06,-0.73,45124.42,-150015.77,109134.09,92802.39,6.64,-24.94,8.22,6.98
14,600022,山东钢铁,0.98,-0.77,195786.41,78062.19,-59989.16,192445.25,27.59,10.74,-3.641,11.32
15,600026,中远海能,0.38,0.36,459605.06,537300.96,192251.27,176633.92,32.02,27.74,6.53,6.38
16,600027,华电国际,0.32,-1.31,136180.2,-255809.6,334444.3,43012.7,8.82,-19.21,7.93,1.02
17,600028,中国石化,0.9,1.63,5651500.0,2844500.0,4641600.0,5111900.0,19.52,9.24,6.68,7.14
18,600029,南方航空,3.25,-1.05,182000.0,-482900.0,505600.0,591400.0,16.5,-51.24,12.28,12.84
19,600030,中信证券,0.92,1.42,1238852.13,730500.1,1036516.86,1143326.45,46.46,13.49,7.36,7.82
